date,Battery (Charging) -  GWh,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Coal Emissions Vol - tCO₂e,Bioenergy Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Battery (Charging) Market Value - AUD,Coal Market Value - AUD,Bioenergy Market Value - AUD,Distillate Market Value - AUD,Gas Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar Market Value - AUD
2013-12-01,0.00,363.85,4.91,0.01,218.60,0.00,0.00,68.84,1.18,40.30,0.00,9.90,310699.07,363.14,9.90,119371.16,654.78,0.00,16880631.40,227112.38,618.52,10349856.01,0.00,0.00,3068433.68,56587.55
2014-01-01,0.00,852.61,10.53,0.08,579.78,0.00,0.00,173.22,2.02,43.50,0.00,9.60,730023.95,782.17,47.98,315701.21,646.73,0.00,49175951.19,571983.78,4745.95,35467246.22,0.00,0.00,8932214.45,129878.15
2014-02-01,0.00,774.99,9.52,0.03,540.65,0.00,0.00,156.75,2.03,37.90,0.00,13.30,664904.79,709.49,27.07,295537.87,647.71,0.00,48804582.41,565022.61,2276.58,35504573.93,0.00,0.00,8425573.38,138673.50
2014-03-01,0.00,818.60,10.23,0.03,522.82,0.00,0.00,135.49,2.01,38.20,0.00,8.00,698257.16,762.63,25.61,276163.04,654.86,0.00,49572442.27,592484.40,2988.32,32660861.69,0.00,0.00,7256009.77,131040.69
2014-04-01,0.00,662.29,9.79,1.13,508.29,0.00,0.00,105.23,1.78,35.00,0.00,5.60,562035.32,728.70,640.18,260315.17,639.28,0.00,38916371.29,561511.51,71808.13,30575835.41,0.00,0.00,5637512.20,105563.35
2014-05-01,0.00,756.88,10.35,0.02,526.14,0.00,0.00,88.60,1.37,24.40,0.00,5.20,642757.27,771.99,13.52,295405.85,678.74,0.00,45970470.75,611666.42,1120.90,32431321.55,0.00,0.00,4720594.19,80197.95
2014-06-01,0.00,699.75,9.22,0.24,637.72,0.00,0.00,132.21,1.47,24.90,0.00,1.00,601809.04,688.67,190.37,368976.09,656.26,0.00,50978977.25,644350.06,25160.47,48644734.77,0.00,0.00,8209321.79,95299.53
2014-07-01,0.00,602.76,10.11,0.08,744.69,0.00,0.00,114.18,1.51,22.60,0.00,2.30,515243.31,752.49,43.29,434612.26,645.24,0.00,41422828.51,680602.35,4720.52,54553694.70,0.00,0.00,7190264.36,95796.86
2014-08-01,0.00,670.31,11.10,0.00,618.40,0.00,0.00,113.68,1.66,26.80,0.00,3.10,566970.82,827.26,0.00,343734.28,644.12,0.00,32810521.77,524089.13,0.00,32203950.03,0.00,0.00,4687852.54,77998.89
2014-09-01,0.00,676.04,11.03,0.80,507.35,0.00,0.00,121.11,1.67,34.50,0.00,4.20,567577.31,821.57,454.03,268813.29,635.56,0.00,25964455.94,409616.73,31132.19,20453211.72,0.00,0.00,4039390.90,68849.11
